City,deathRate,caseRatio
Aberdeen City,35,620.1
Aberdeenshire,22.6,273
Adur,42,387.2
Allerdale,75.7,510.4
Amber Valley,64.8,508
Angus,39.6,494
Argyll and Bute,41.9,312.1
Arun,26.7,279.3
Ashfield,75,622.3
Ashford,110.7,1082.8
Aylesbury Vale,43.3,465
Babergh,56.5,333.6
Barking and Dagenham,53.5,588.1
Barnet,79.8,601.5
Barnsley,90.7,1042.7
Barrow-in-Furness,82,1193.2
Basildon,90.8,559.8
Basingstoke and Deane,57.2,587.8
Bassetlaw,50.2,647
Bath and North East Somerset,23.3,292.3
Bedford,99.3,967.7
Bexley,75.3,555
Birmingham,87.5,1030.1
Blaby,62.1,816.5
Blackburn with Darwen,62.1,1841.7
Blackpool,96.1,1034.8
Bolsover,45.9,608.2
Bolton,106.4,1716.6
Boston,45.6,771
"Bournemouth, Christchurch and Poole",29.1,319.2
Bracknell Forest,44.1,421.1
Bradford,78.4,1708.9
Braintree,68.2,386.6
Breckland,49.3,409.4
Brent,117.7,718.1
Brentwood,92.2,514.1
Brighton and Hove,35.1,380.9
"Bristol, City of",30.9,402.9
Broadland,48.9,368.5
Bromley,74.9,573.5
Bromsgrove,117.1,716.9
Broxbourne,57.6,461.6
Broxtowe,68.4,597.2
Burnley,59.6,1539.6
Bury,108.9,1439.3
Calderdale,50.1,858.8
Cambridge,36.1,383.8
Camden,44.8,400.7
Cannock Chase,68.5,454.5
Canterbury,67.1,500
Carlisle,93.9,825.4
Castle Point,91.8,500.1
Central Bedfordshire,80,546.3
Charnwood,47.9,658.1
Chelmsford,74.6,510.1
Cheltenham,73.1,474.6
Cherwell,45.2,562.1
Cheshire East,96.3,784.8
Cheshire West and Chester,90.7,815
Chesterfield,61,601.5
Chichester,33,300.5
Chiltern,66.6,429
Chorley,70.2,841.7
City of Edinburgh,50.1,588.8
Clackmannanshire,60.1,436.6
Colchester,48.3,435
Copeland,77.7,636.5
Corby,59.5,740.8
Cornwall and Isles of Scilly,25.2,244.3
Cotswold,57.9,286
County Durham,94.5,930.2
Coventry,56.5,666.4
Craven,64.8,777
Crawley,58.7,483.9
Croydon,93.9,605.9
Dacorum,60.7,478.8
Darlington,66.5,802.4
Dartford,89.7,735.3
Daventry,66.3,431.6
Derby,88.2,684.8
Derbyshire Dales,66.4,439.7
Doncaster,72.1,822.7
Dorset,26.4,210.8
Dover,95.7,645
Dudley,78.4,605.1
Dumfries and Galloway,27.5,288.2
Dundee City,75.7,904.1
Ealing,75.8,676.1
East Ayrshire,42.6,507.3
East Cambridgeshire,36.7,259.3
East Devon,18.5,208.5
East Dunbartonshire,61.7,719.8
East Hampshire,44.2,489.7
East Hertfordshire,48.7,386.6
East Lindsey,36.7,242.7
East Lothian,56,407.1
East Northamptonshire,79.3,576.6
East Renfrewshire,56.5,656.3
East Riding of Yorkshire,70.1,625.2
East Staffordshire,109.4,710.6
East Suffolk,72.2,401.3
Eastbourne,44.3,521.5
Eastleigh,49.4,369.8
Eden,63.8,488.2
Elmbridge,61.4,456.9
Enfield,72.8,540.2
Epping Forest,115.4,533.8
Epsom and Ewell,71.9,520.9
Erewash,67.6,511.4
Exeter,19.8,350.1
Falkirk,47.9,537.6
Fareham,58.5,321.8
Fenland,69.7,540
Fife,34,369.7
Folkestone and Hythe,123.9,755.8
Forest of Dean,41.5,248.9
Fylde,104,875.2
Gateshead,96.5,1131.9
Gedling,55.1,460.6
Glasgow City,61.1,921.2
Gloucester,70.5,517.3
Gosport,50.7,320.6
Gravesham,85.1,654.6
Great Yarmouth,43.3,533.5
Greenwich,61.5,460.9
Guildford,38.3,477.2
Hackney and City of London,57.8,540.5
Halton,83.5,1182.3
Hambleton,50.2,523
Hammersmith and Fulham,60.5,628.2
Harborough,46.9,591.6
Haringey,64,476.8
Harlow,80.4,546.7
Harrogate,72.1,665.9
Harrow,117.5,709.9
Hart,37.1,344.1
Hartlepool,95,1083.7
Hastings,8.6,233.1
Havant,59.4,362.1
Havering,85.5,589.5
"Herefordshire, County of",51.9,531.6
Hertsmere,135.3,692.9
High Peak,87.4,707.9
Highland,12.7,172.6
Hillingdon,69.1,562.1
Hinckley and Bosworth,71.6,643.5
Horsham,58.4,445.8
Hounslow,69.6,641.9
Huntingdonshire,62.4,593.4
Hyndburn,64.2,1258.6
Inverclyde,82.3,573.3
Ipswich,71.6,569
Isle of Wight,52.2,328
Islington,46.2,389.7
Kensington and Chelsea,58.9,562.4
Kettering,83.5,804.7
