Code,City,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Male,Female,Transplants_S,Transplants_H,Transplants_HI,Cancer_S,Cancer_L,Cancer_H,Respiratory_A,Respiratory_C,Respiratory_P,Corticosteroid,Metabolic_AI,Immuno_sup_therapy,Pregnant_CHD,population,population density
E06000001,Hartlepool,135,115,185,315,760,1120,1115,645,120,2030,2480,95,*,0,270,*,325,590,1875,255,0,575,125,*,93663,999
E06000002,Middlesbrough,280,295,380,595,1110,1560,1645,945,155,3140,3830,140,*,0,300,*,355,620,2185,310,0,680,265,15,140980,2616
E06000003,Redcar and Cleveland,190,220,255,425,990,1470,1705,880,145,2890,3390,165,*,*,340,*,450,645,2275,405,0,895,355,10,137150,560
E06000004,Stockton-on-Tees,315,295,450,575,1355,2060,2335,1405,235,4110,4915,230,15,*,575,*,720,860,2985,495,0,1330,360,15,197348,963
E06000005,Darlington,135,185,245,420,780,1115,1330,855,135,2385,2815,110,*,0,265,*,335,335,1390,235,0,525,260,10,106803,541
E06000006,Halton,210,215,285,485,1000,1525,1645,765,100,2945,3280,110,*,*,70,10,445,650,2230,385,0,760,205,15,129410,1636
E06000007,Warrington,260,305,425,730,1300,1650,2110,1240,165,3765,4430,190,*,*,150,10,580,710,2175,510,0,1010,380,15,210014,1163
E06000008,Blackburn with Darwen,295,205,280,470,900,1210,1380,620,110,2555,2920,165,*,*,385,50,690,655,1825,320,0,1255,255,10,149696,1092
E06000009,Blackpool,140,210,285,535,1155,1485,1735,945,170,3165,3490,135,*,*,505,65,515,835,2670,330,0,845,305,20,139446,3999
E06000010,"Kingston upon Hull, City of",440,440,625,955,1910,2500,2830,1540,280,5425,6090,300,*,*,520,10,605,1030,3910,535,*,1430,755,15,259778,3629
E06000011,East Riding of Yorkshire,315,390,530,875,1850,3065,4325,2680,455,6940,7535,365,*,*,1035,35,1400,1160,4050,760,*,2275,1020,25,341173,142
E06000012,North East Lincolnshire,185,225,350,460,1045,1445,1630,965,185,3100,3390,130,*,0,420,10,525,655,2040,300,0,1090,410,20,159563,828
E06000013,North Lincolnshire,160,190,285,515,1105,1515,1850,985,190,3330,3465,145,*,*,440,10,475,645,2425,295,0,865,345,15,172292,204
E06000014,York,140,235,340,500,1015,1365,2010,1515,420,3310,4225,215,*,*,505,10,775,450,1475,350,0,1210,505,10,210618,775
E06000015,Derby,270,375,470,800,1355,1685,1905,1145,200,3860,4345,225,*,*,595,15,665,715,2080,515,0,1550,305,15,257302,3297
E06000016,Leicester,490,805,1050,1405,2335,2945,2465,1505,300,5925,7370,395,*,*,545,*,600,995,2430,600,0,2480,605,15,354224,4830
E06000017,Rutland,30,30,40,75,150,230,360,210,60,595,590,30,*,*,105,0,135,120,270,90,0,255,75,*,39927,105
E06000018,Nottingham,500,755,770,1100,1950,2315,2110,1300,220,5150,5870,320,15,*,525,25,800,945,3030,570,0,2055,295,25,332900,4462
E06000019,"Herefordshire, County of",45,190,280,485,1045,1540,2060,1150,170,3245,3720,180,10,0,540,*,800,740,2025,380,0,1205,425,20,192801,88
E06000020,Telford and Wrekin,170,235,300,500,925,1265,1515,640,80,2620,3020,150,*,*,495,*,550,790,1975,310,*,955,305,15,179854,620
E06000021,Stoke-on-Trent,345,285,495,740,1605,2300,3180,1735,315,5175,5830,235,*,*,615,*,1295,1130,3555,490,0,1685,405,30,256375,2743
E06000022,Bath and North East Somerset,190,285,325,490,860,1210,1700,1205,370,3140,3495,155,*,*,200,10,575,425,1285,295,0,1145,330,15,193282,559
E06000023,"Bristol, City of",505,680,1135,1465,2275,2970,3080,1755,405,6650,7630,470,20,0,770,40,1475,1250,4060,785,0,2725,835,25,463377,4224
E06000024,North Somerset,260,220,345,645,1105,1530,2135,1145,195,3535,4045,215,10,*,565,15,1255,675,2105,485,0,1490,445,15,215052,575
E06000025,South Gloucestershire,320,415,630,885,1560,1950,2835,1715,330,5020,5620,310,20,*,615,20,1080,790,2415,575,*,1780,780,25,285093,574
E06000026,Plymouth,310,380,555,855,1780,2385,2740,1440,285,5050,5680,280,*,0,585,30,695,935,3365,535,0,1575,415,15,262100,3282
E06000027,Torbay,165,175,235,385,920,1300,1685,990,145,2910,3090,145,*,*,470,*,485,555,1820,365,0,775,195,10,136264,2167
E06000030,Swindon,280,360,490,750,1240,1635,1745,1055,215,3630,4140,225,*,0,460,*,640,605,1900,275,0,1690,455,15,222193,966
